tau,gamma,precision,coverage,error_overall,mean_saving_trig,mean_saving_all
0.6,0.0,0.8,0.9090909090909091,0.18181818181818182,10.9,9.909090909090908
0.7,0.0,0.8,0.9090909090909091,0.18181818181818182,10.5,9.545454545454545
0.8,0.0,0.8,0.9090909090909091,0.18181818181818182,10.5,9.545454545454545
0.9,0.0,0.8888888888888888,0.8181818181818182,0.09090909090909091,7.555555555555555,6.181818181818182
0.95,0.0,1.0,0.5454545454545454,0.0,2.6666666666666665,1.4545454545454546
0.6,0.1,0.8,0.9090909090909091,0.18181818181818182,10.9,9.909090909090908
0.7,0.1,0.8,0.9090909090909091,0.18181818181818182,10.5,9.545454545454545
0.8,0.1,0.8,0.9090909090909091,0.18181818181818182,10.5,9.545454545454545
0.9,0.1,0.8888888888888888,0.8181818181818182,0.09090909090909091,7.555555555555555,6.181818181818182
0.95,0.1,1.0,0.5454545454545454,0.0,2.6666666666666665,1.4545454545454546
0.6,0.2,0.8,0.9090909090909091,0.18181818181818182,10.9,9.909090909090908
0.7,0.2,0.8,0.9090909090909091,0.18181818181818182,10.5,9.545454545454545
0.8,0.2,0.8,0.9090909090909091,0.18181818181818182,10.5,9.545454545454545
0.9,0.2,0.8888888888888888,0.8181818181818182,0.09090909090909091,7.555555555555555,6.181818181818182
0.95,0.2,1.0,0.5454545454545454,0.0,2.6666666666666665,1.4545454545454546
